geoid,geoid2,schooldistrictname,aveincome
9700000US4225950,4225950,Wyoming Valley West School District,58408
9700000US4225980,4225980,West York Area School District,67803
9700000US4226010,4226010,Mifflinburg Area School District,66705
9700000US4226040,4226040,Western Beaver County School District,67178
9700000US4226070,4226070,Western Wayne School District,66180
9700000US4226130,4226130,Westmont Hilltop School District,86856
9700000US4226250,4226250,Whitehall-Coplay School District,68853
9700000US4226300,4226300,Wilkes-Barre Area School District,54020
9700000US4226370,4226370,Wilkinsburg Borough School District,47639
9700000US4226390,4226390,William Penn School District,66045
9700000US4226400,4226400,Williams Valley School District,58960
9700000US4226430,4226430,Williamsburg Community School District,63323
9700000US4226460,4226460,Williamsport Area School District,56579
9700000US4226520,4226520,Wilmington Area School District,70298
9700000US4226550,4226550,Wilson Area School District,81231
9700000US4226580,4226580,Wilson School District,95154
9700000US4226610,4226610,Windber Area School District,57944
9700000US4226700,4226700,Wyalusing Area School District,72707
9700000US4226730,4226730,Wyoming Area School District,67983
9700000US4226760,4226760,Wyomissing Area School District,105804
9700000US4226820,4226820,York City School District,40562
9700000US4226850,4226850,York Suburban School District,90197
9700000US4299997,4299997,School District Not Defined,
